one_day_volume,one_day_change,one_day_sales,one_day_average_price,seven_day_volume,seven_day_change,seven_day_sales,seven_day_average_price,thirty_day_volume,thirty_day_change,thirty_day_sales,thirty_day_average_price,total_volume,total_sales,total_supply,count,num_owners,average_price,num_reports,market_cap,floor_price,collection
624.8568540000007,-0.5949606853074971,693.0,0.901669341991343,3981.117688181906,2.9947384472237033,6421.0,0.6200152138579514,4977.708013375447,150838.63676895294,17533.0,0.28390509401559616,4980.621903375437,17599.0,10000.0,10000.0,3067,0.2830059607577383,1,6200.152138579514,0.899999999999,rareapepeyachtclub
238.88,0.1126740882202245,2.0,119.44,2565.65301,-0.03397824708996754,28.0,91.63046464285715,13055.177078650002,-0.6440102701205008,136.0,95.9939491077206,646879.5853105147,26905.0,10000.0,10000.0,6446,24.043099249600992,2,916304.6464285714,84.0,boredapeyachtclub
147.13168989000002,-0.6220518005471612,327.0,0.4499440057798166,3202.6232426723464,0.0,6106.0,0.5245042978500404,3202.6232426723464,0.0,6106.0,0.5245042978500404,3202.6232426723464,6106.0,18822.0,18822.0,4043,0.5245042978500404,2,9872.21989413346,0.39,webaverse-genesis-pass
455.4700000000001,-0.06154448427906221,32.0,14.233437500000003,3085.5947000000006,2.177556358573476,195.0,15.823562564102566,6754.44562361111,-0.38528581113287924,356.0,18.97316186407615,165019.4614915504,9036.0,10000.0,10000.0,6585,18.262445937533247,3,158235.62564102566,13.5,proof-moonbirds
522.3122227499999,1.015221736536169,138.0,3.784871179347826,2034.2457361389954,0.03626948098464944,661.0,3.0775275887125497,14630.54739565543,-0.3482204172933759,3134.0,4.668330375129365,331820.4759173818,42767.0,100000.0,100000.0,34677,7.7587971079893805,1,307752.758871255,1.9,otherdeed
392.56583124,-0.39933165753271027,23.0,17.068079619130437,2402.225827295148,0.5105129408954167,143.0,16.79878200905698,9328.98189829514,-0.5164915348731983,507.0,18.400358773757674,440301.6939767918,33913.0,19425.0,19425.0,12960,12.983271724022995,1,326316.34052593185,15.85,mutant-ape-yacht-club
210.6043000000001,0.2966017457801172,154.0,1.3675603896103903,1364.506779998999,-0.46030448329932916,874.0,1.5612205720812347,10278.574429674605,0.0,11195.0,0.9181397436064855,10278.574429674605,11195.0,9999.0,9999.0,4917,0.9181397436064855,3,15610.644500240265,1.375,thepotatoz
23.95,-0.7857062488997313,1.0,23.95,1529.2314249999006,16.781760755812797,57.0,26.828621491226325,1615.2314249999004,0.0,59.0,27.376803813557633,1615.2314249999004,59.0,250.0,250.0,188,27.376803813557633,1,6707.155372806582,23.94,nftiff
243.77304999000006,0.1171017490211677,51.0,4.779863725294119,1438.5131499899994,-0.03702854159054747,345.0,4.169603333304346,4513.7939670828355,0.0,1786.0,2.5273202503263357,4513.7939670828355,1786.0,700.0,700.0,443,2.5273202503263357,1,2918.7223333130423,0.575,ladyapeclub5668
110.99449999999997,1.3863109998162684,32.0,3.468578124999999,1409.5174768536042,5.016881169357816,375.0,3.758713271609611,2389.9152395983624,6.321614619623283,785.0,3.0444780122272133,9582.245694040072,9610.0,5200.0,5200.0,1748,0.9971119348636911,1,19545.309012369977,3.2013,cryptodickbutts-s3
134.0202,0.470456507928845,16.0,8.3762625,1104.6171900000004,0.971543439010261,127.0,8.697773149606302,2669.4328009665,-0.23815074296868446,324.0,8.238990126439814,106034.55284500653,22480.0,9602.0,9602.0,5539,4.7168395393686176,1,83516.01778251972,8.29,bored-ape-kennel-club
213.3924,-0.05399009624464121,21.0,10.161542857142857,913.1923000000002,0.032800806479277037,93.0,9.819272043010754,4766.618819978998,-0.5906768529380981,442.0,10.784205475065605,224268.76944952144,18143.0,19357.0,19357.0,9481,12.361173424986024,1,190071.64893655918,8.0,clonex
114.78102946450925,-0.0909865327365546,594.0,0.19323405633755766,665.6993898344981,-0.3348357432896981,3615.0,0.18414920880622354,5533.744009579467,-0.5672272322961642,21858.0,0.2531679023506024,49985.34294918449,143725.0,1784373.0,1784373.0,482911,0.34778460914374315,28,328590.8761651875,5.3224e-22,ens
29.621809999999993,-0.43265834271662684,24.0,1.234242083333333,339.41257399999967,-0.754998341491208,244.0,1.3910351393442608,4940.625616523532,0.0,5495.0,0.8991129420424989,4940.625616523532,5495.0,5080.0,5080.0,1424,0.8991129420424989,9,7066.458507868845,0.84,super-cool-world
140.96104900000006,-0.2829069914379176,139.0,1.0141082661870509,832.2511444499993,-0.03508351006251935,581.0,1.4324460317555925,8331.848557186984,-0.3065981073201854,2233.0,3.73123535924182,304818.57029874285,70040.0,59251.0,59251.0,12235,4.352064110490332,0,84873.85982755062,,art-blocks
16.369717246300013,-0.5835305071564647,106.0,0.1544312947764152,267.02276075347817,-0.8045109489597219,1595.0,0.16741238918713364,1632.94458262811,0.0,7516.0,0.21726245112135578,1632.94458262811,7516.0,10000.0,10000.0,2302,0.21726245112135578,1,1674.1238918713366,0.1628389965,rakkudos
91.67931000000004,-0.18707656594013136,60.0,1.5279885000000006,601.2277449000001,-0.18668963909785505,324.0,1.855641187962963,3317.7448349281935,-0.6430180979634345,1279.0,2.5940147262925675,46674.37502985194,29364.0,9999.0,9999.0,4489,1.5895101154424445,3,18554.55623844167,1.45,goblintownwtf
30.637950000000004,-0.4106582812665899,61.0,0.5022614754098361,457.8523930089901,-0.17147000872543935,731.0,0.6263370629397949,3699.6087843803184,0.0,7161.0,0.5166329820388659,3699.6087843803184,7161.0,10000.0,10000.0,7816,0.5166329820388659,1,6263.370629397949,0.503,ledger-market-pass-genesis-edition
