,t_tweets_today,t_retweets_today,t_replies_today,t_likes_today,t_quotes_today,t_unique_tweeters_today,t_unique_verified_tweeters_today,t_followers_today,t_sent_str_pos_today,t_sent_weak_pos_today,t_sent_neutral_today,t_sent_weak_neg_today,t_sent_str_neg_today,t_tweets_ytd,t_retweets_ytd,t_replies_ytd,t_likes_ytd,t_quotes_ytd,t_unique_tweeters_ytd,t_unique_verified_tweeters_ytd,t_followers_ytd,t_sent_str_pos_ytd,t_sent_weak_pos_ytd,t_sent_neutral_ytd,t_sent_weak_neg_ytd,t_sent_str_neg_ytd,t_tweets_%_change_day,t_retweets_%_change_day,t_replies_%_change_day,t_likes_%_change_day,t_quotes_%_change_day,t_unique_tweeters_%_change_day,t_unique_verified_tweeters_%_change_day,t_followers_%_change_day,t_sent_str_pos_%_change_day,t_sent_weak_pos_%_change_day,t_sent_neutral_%_change_day,t_sent_weak_neg_%_change_day,t_sent_str_neg_%_change_day,one_day_volume_today,one_day_volume_ytd,one_day_volume_%_change_day,one_day_change_today,one_day_change_ytd,one_day_change_%_change_day,one_day_sales_today,one_day_sales_ytd,one_day_sales_%_change_day,one_day_average_price_today,one_day_average_price_ytd,one_day_average_price_%_change_day,seven_day_volume_today,seven_day_volume_ytd,seven_day_volume_%_change_day,seven_day_change_today,seven_day_change_ytd,seven_day_change_%_change_day,seven_day_sales_today,seven_day_sales_ytd,seven_day_sales_%_change_day,seven_day_average_price_today,seven_day_average_price_ytd,seven_day_average_price_%_change_day,thirty_day_volume_today,thirty_day_volume_ytd,thirty_day_volume_%_change_day,thirty_day_change_today,thirty_day_change_ytd,thirty_day_change_%_change_day,thirty_day_sales_today,thirty_day_sales_ytd,thirty_day_sales_%_change_day,thirty_day_average_price_today,thirty_day_average_price_ytd,thirty_day_average_price_%_change_day,total_volume_today,total_volume_ytd,total_volume_%_change_day,total_sales_today,total_sales_ytd,total_sales_%_change_day,total_supply_today,total_supply_ytd,total_supply_%_change_day,count_today,count_ytd,count_%_change_day,num_owners_today,num_owners_ytd,num_owners_%_change_day,average_price_today,average_price_ytd,average_price_%_change_day,num_reports_today,num_reports_ytd,num_reports_%_change_day,market_cap_today,market_cap_ytd,market_cap_%_change_day,floor_price_today,floor_price_ytd,floor_price_%_change_day,next_day_average_price,g_nft_today,g_nft_ytd,g_nft_%_change_day,g_ethereum_today,g_ethereum_ytd,g_ethereum_%_change_day,g_recession_today,g_recession_ytd,g_recession_%_change_day,g_bitcoin_today,g_bitcoin_ytd,g_bitcoin_%_change_day,g_gold_today,g_gold_ytd,g_gold_%_change_day,g_fixed deposit_today,g_fixed deposit_ytd,g_fixed deposit_%_change_day,g_opensea_today,g_opensea_ytd,g_opensea_%_change_day,one_day_volume,one_day_change,one_day_sales,one_day_average_price,seven_day_volume,seven_day_change,seven_day_sales,seven_day_average_price,thirty_day_volume,thirty_day_change,thirty_day_sales,thirty_day_average_price,total_volume,total_sales,total_supply,count,num_owners,average_price,num_reports,market_cap,floor_price
goda-mint-pass_2022-08-10,6,3,5,16,0,4,0,3218,1,1,4,0,0,5,0,1,5,9,2,0,1126,0,1,4,0,0,5.0,1.0,4.0,15.0,-1.0,3.0,0.0,3217.0,1.0,0.0,3.0,0.0,0.0,27.376900000000003,37.9249,-0.27812861734638716,-0.0655710287391629,-0.0376833291042883,0.7400540317893788,3.0,4.0,-0.25,9.125633333333337,9.481224999999998,-0.03750482312851577,193.2199,340.07890000000003,-0.43183802347043587,-0.419184477109448,0.8407418633728638,-1.4985888004051278,21.0,35.0,-0.4,9.200947619047618,9.71654,-0.05306337245072653,1052.5704900000003,1051.7904900000003,0.0007415925580387901,-0.4906255703831815,-0.5199470201555464,-0.05639314898582002,131.0,131.0,0.0,8.034889236641224,8.02893503816794,0.000741592558038905,5432.567904469992,5424.017904469992,0.001576322230233428,821.0,820.0,0.0012195121951219512,1000.0,1000.0,0.0,1000.0,1000.0,0.0,723,723,0.0,6.617013281936653,6.614655981060966,0.0003563754309273801,6,6,0.0,9200.947619047618,9716.54,-0.05306337245072658,8.9,9.97,-0.1073219658976931,7.892525,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,37.9249,-0.0376833291042883,4.0,9.481224999999998,340.07890000000003,0.8407418633728638,35.0,9.71654,1051.7904900000003,-0.5199470201555464,131.0,8.02893503816794,5424.017904469992,820.0,1000.0,1000.0,723,6.614655981060966,6,9716.54,9.97
steady-stack-titans-official_2022-08-10,2,0,1,6,0,2,0,5677,1,1,0,0,0,3,1,2,5,3,3,0,7715,0,1,1,1,0,1.0,-1.0,0.0,5.0,-1.0,1.0,0.0,5676.0,1.0,0.0,-1.0,-1.0,0.0,14.642396000000002,25.75139,-0.4313939558214139,-0.796950315604616,-0.7110957585649311,0.12073557745998766,41.0,60.0,-0.31666666666666665,0.3571316097560976,0.4291898333333332,-0.16789359388499567,225.2982118990001,318.3050136780003,-0.29219395794087794,0.7558402112970107,10.971159813385333,-0.9311066264503002,741.0,1273.0,-0.417910447761194,0.3040461699041837,0.2500432157721919,0.21597448251182522,353.6118309,344.89433490000005,0.02527584572395922,0.0,0.0,0.0,1446.0,1420.0,0.018309859154929577,0.2445448346473029,0.2428833344366197,0.006840733698494127,353.6118309,344.89433490000005,0.02527584572395922,1446.0,1420.0,0.018309859154929577,2125.0,2125.0,0.0,2125.0,2125.0,0.0,971,974,-0.003080082135523614,0.2445448346473029,0.2428833344366197,0.006840733698494127,2,2,0.0,646.0981110463904,531.3418335159079,0.21597448251182508,0.32,0.385,-0.16883116883116883,0.3147741860465115,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,25.75139,-0.7110957585649311,60.0,0.4291898333333332,318.3050136780003,10.971159813385333,1273.0,0.2500432157721919,344.89433490000005,0.0,1420.0,0.2428833344366197,344.89433490000005,1420.0,2125.0,2125.0,974,0.2428833344366197,2,531.3418335159079,0.385
proof-of-narnian-nft-og_2022-08-10,21,4,5,38,5,12,0,385149,1,13,7,0,0,105,24,49,196,49,50,0,592452,20,30,42,5,8,20.0,3.0,4.0,37.0,4.0,11.0,0.0,385148.0,0.0,12.0,6.0,-1.0,-1.0,424.4031819,350.22479889999994,0.21180220028102661,0.0,0.0,0.0,725.0,592.0,0.22466216216216217,0.5853836991724137,0.5915959440878378,-0.010500824046389471,424.4031819,350.22479889999994,0.21180220028102661,0.0,0.0,0.0,725.0,592.0,0.22466216216216217,0.5853836991724137,0.5915959440878378,-0.010500824046389471,424.4031819,350.22479889999994,0.21180220028102661,0.0,0.0,0.0,725.0,592.0,0.22466216216216217,0.5853836991724137,0.5915959440878378,-0.010500824046389471,424.4031819,350.22479889999994,0.21180220028102661,725.0,592.0,0.22466216216216217,3327.0,2994.0,0.11122244488977956,3327.0,2994.0,0.11122244488977956,2586,2637,-0.019340159271899887,0.5853836991724137,0.5915959440878378,-0.010500824046389471,1,1,0.0,1947.5715671466207,1771.2382565989865,0.0995536935195933,0.409,0.43,-0.04883720930232562,0.437682201724138,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,350.22479889999994,0.0,592.0,0.5915959440878378,350.22479889999994,0.0,592.0,0.5915959440878378,350.22479889999994,0.0,592.0,0.5915959440878378,350.22479889999994,592.0,2994.0,2994.0,2637,0.5915959440878378,1,1771.2382565989865,0.43
okay-bears_2022-08-10,1,0,0,2,0,1,0,65,1,0,0,0,0,4,0,2,33,0,4,0,7692,4,0,0,0,0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,98.30348060378724,84.18614142815022,0.16769196136261505,0.8061678111503289,1.5383193741091854,-0.4759424962601365,71.0,61.0,0.16393442622950818,1.3845560648420738,1.3801006791500037,0.003228304832669313,324.0955118188833,347.0769087014384,-0.06621413383142721,-0.0042848974231638,0.170645736297792,-1.025109900288902,208.0,210.0,-0.009523809523809525,1.5581514991292469,1.6527471842925638,-0.057235423579806224,1532.982310205235,1570.385249858284,-0.023817684008700546,-0.4943443197734711,-0.5071290925404542,-0.025210095328860056,766.0,743.0,0.03095558546433378,2.0012823893018736,2.11357368756162,-0.053128641277368466,45273.096851065086,47086.15747448147,-0.03850517265926788,20671.0,20637.0,0.0016475262877356206,10000.0,10000.0,0.0,10000.0,10000.0,0.0,5004,5024,-0.003980891719745223,2.190174488465245,2.28163771257845,-0.040086655128891396,1,1,0.0,15581.514991292468,16527.47184292564,-0.057235423579806315,1.52377485,1.57371324,-0.0317328397135428,1.3357748655797566,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,84.18614142815022,1.5383193741091854,61.0,1.3801006791500037,347.0769087014384,0.170645736297792,210.0,1.6527471842925638,1570.385249858284,-0.5071290925404542,743.0,2.11357368756162,47086.15747448147,20637.0,10000.0,10000.0,5024,2.28163771257845,1,16527.47184292564,1.57371324
azuki_2022-08-10,16,5,4,35,6,7,0,15584,3,5,7,1,0,25,23,31,143,14,8,0,31330,3,2,19,1,0,15.0,4.0,3.0,34.0,5.0,6.0,0.0,15583.0,2.0,4.0,6.0,0.0,0.0,136.05319999999998,150.10000000000002,-0.09358294470353128,-0.1820260386762421,1.5492743654412826,-1.1174911576261672,16.0,18.0,-0.1111111111111111,8.503324999999998,8.33888888888889,0.019719187208527285,521.9866999999999,448.2835,0.16441202944119052,-0.4073249215940004,-0.504593406610812,-0.19276606420629236,55.0,46.0,0.1956521739130435,9.490667272727272,9.745293478260868,-0.02612812083100403,2853.321963210001,2862.18876321,-0.0030979088849664277,-0.6225133108097849,-0.6184854860884822,0.006512399744052306,267.0,263.0,0.015209125475285171,10.686599113146071,10.882847008403042,-0.018032771673206494,257117.45534893067,257006.95214893064,0.0004299619098863951,26924.0,26911.0,0.0004830738359778529,10000.0,10000.0,0.0,10000.0,10000.0,0.0,5087,5088,-0.00019654088050314466,9.549749492977666,9.550256480581572,-5.308628149796146e-05,1,1,0.0,94906.67272727271,97452.93478260867,-0.026128120831004076,8.29,8.0,0.03624999999999989,8.113636363636362,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,150.10000000000002,1.5492743654412826,18.0,8.33888888888889,448.2835,-0.504593406610812,46.0,9.745293478260868,2862.18876321,-0.6184854860884822,263.0,10.882847008403042,257006.95214893064,26911.0,10000.0,10000.0,5088,9.550256480581572,1,97452.93478260867,8.0
rakkudos_2022-08-10,737,172,196,1212,95,409,2,2428000,61,75,568,20,13,668,309,594,1199,46,392,1,2813813,64,64,512,18,10,736.0,171.0,195.0,1211.0,94.0,408.0,1.0,2427999.0,60.0,74.0,567.0,19.0,12.0,42.52412188533603,27.88066687296001,0.5252189654967664,1.541547294419284,0.0808016848940542,18.078157793869455,302.0,208.0,0.4519230769230769,0.1408083506136954,0.1340416676584616,0.05048193650108357,406.3512687503874,576.9110475514233,-0.29564311435002105,-0.6626284151469245,-0.4618652951991818,0.4346789465122349,2393.0,3043.0,-0.21360499507065395,0.1698083028626775,0.1895862791821962,-0.10432177056711821,1610.8133129600424,1648.9679924105417,-0.023138520350975977,0.0,0.0,0.0,7348.0,7158.0,0.02654372729812797,0.2192179250081712,0.230367140599405,-0.048397595083326736,1610.8133129600424,1648.9679924105417,-0.023138520350975977,7348.0,7158.0,0.02654372729812797,10000.0,10000.0,0.0,10000.0,10000.0,0.0,2291,2267,0.0105866784296427,0.2192179250081712,0.230367140599405,-0.048397595083326736,1,1,0.0,1698.0830286267758,1895.862791821963,-0.10432177056711826,0.158117778,0.155138945,0.019201065212864417,0.1544312947764152,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,27.88066687296001,0.0808016848940542,208.0,0.1340416676584616,576.9110475514233,-0.4618652951991818,3043.0,0.1895862791821962,1648.9679924105417,0.0,7158.0,0.230367140599405,1648.9679924105417,7158.0,10000.0,10000.0,2267,0.230367140599405,1,1895.862791821963,0.155138945
ens_2022-08-10,107,33,31,396,9,85,2,659007,9,12,75,6,5,103,74,86,384,6,67,3,1880170,19,29,46,6,3,106.0,32.0,30.0,395.0,8.0,84.0,1.0,659006.0,8.0,11.0,74.0,5.0,4.0,109.03806639700004,91.24644429920004,0.1949842783951197,0.1245530508226696,0.0777512629013699,0.6019424788079565,559.0,590.0,-0.05254237288135593,0.1950591527674419,0.1546549903376272,0.2612535317587128,668.5585993650914,664.6485063046877,0.0058829486913963645,-0.3149301493748959,-0.3113633465295579,0.011455435860043993,3550.0,3574.0,-0.006715165081141578,0.1883263660183356,0.1859676850320894,0.012683284119169407,5746.276021451829,5790.615213601602,-0.00765707796394825,-0.5396514516141302,-0.5331181435443654,0.012254897247219888,22459.0,22806.0,-0.015215294220819083,0.2558562723830905,0.2539075337017277,0.007674993541751474,49844.94894927177,49791.16828279698,0.0010801246150589474,143074.0,142656.0,0.002930125616868551,1779324.0,1773837.0,0.003093294366957054,1779324.0,1773837.0,0.003093294366957054,481867,481021,0.0017587589731009666,0.3483857930111115,0.3490296116728141,-0.0018445961035137776,29,31,-0.06451612903225806,335093.62288920896,329876.3605142664,0.015815811617446607,5.4238e-22,5.9149e-22,-0.08302760824358826,0.1932340563375576,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,91.24644429920004,0.0777512629013699,590.0,0.1546549903376272,664.6485063046877,-0.3113633465295579,3574.0,0.1859676850320894,5790.615213601602,-0.5331181435443654,22806.0,0.2539075337017277,49791.16828279698,142656.0,1773837.0,1773837.0,481021,0.3490296116728141,31,329876.3605142664,5.9149e-22
proof-moonbirds_2022-08-10,37,1,3,44,4,8,0,49051,2,4,28,3,0,19,0,5,10,1,7,0,13152,1,3,15,0,0,36.0,1.0,2.0,43.0,3.0,7.0,0.0,49050.0,1.0,3.0,27.0,1.0,0.0,312.439,521.7582,-0.4011804701871479,-0.3932613027873482,2.19003050886836,-1.179568869563628,21.0,36.0,-0.4166666666666667,14.87804761904762,14.493283333333332,0.026547765393460765,2464.354700000001,2408.983700000001,0.02298521156452807,1.0734144742875569,0.8994998501837226,0.19334591781011667,150.0,143.0,0.04895104895104895,16.42903133333334,16.846039860139868,-0.024754098308483057,6373.705623611111,6226.335623611111,0.023668817248005843,-0.4471586039802319,-0.4650723639771211,-0.03851822078546569,319.0,306.0,0.042483660130718956,19.980268412574016,20.347502037944807,-0.01804809379971846,164361.72149155044,164122.85149155048,0.0014554341325970928,8989.0,8973.0,0.0017831271592555443,10000.0,10000.0,0.0,10000.0,10000.0,0.0,6582,6581,0.000151952590791673,18.284761540944537,18.2907446218155,-0.00032710974838202797,1,1,0.0,164290.3133333334,168460.3986013987,-0.02475409830848312,14.2,14.5,-0.02068965517241384,14.233437500000004,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,521.7582,2.19003050886836,36.0,14.493283333333332,2408.983700000001,0.8994998501837226,143.0,16.846039860139868,6226.335623611111,-0.4650723639771211,306.0,20.347502037944807,164122.85149155048,8973.0,10000.0,10000.0,6581,18.2907446218155,1,168460.3986013987,14.5
mutant-ape-yacht-club_2022-08-10,194,26,33,310,39,42,0,405681,7,46,129,10,2,187,14,34,370,48,54,0,565495,5,39,141,1,1,193.0,25.0,32.0,309.0,38.0,41.0,0.0,405680.0,6.0,45.0,128.0,9.0,1.0,609.702345155148,196.5216009,2.1024698677546136,2.332763073300069,-0.0569754509465197,-41.9433016245844,36.0,12.0,2.0,16.936176254309668,16.376800075000002,0.03415662258487124,2214.046646055148,1780.4069008999998,0.24356215701924222,0.0950346103547575,-0.1171044963575247,-1.8115368180621607,132.0,106.0,0.24528301886792453,16.77308065193294,16.796291517924526,-0.0013819042118206055,9449.828377055142,9322.651356899993,0.013641722218971763,-0.513306221508765,-0.5188001036961731,-0.010589593464355777,508.0,495.0,0.026262626262626262,18.602024364281775,18.83363910484847,-0.012297928152773646,439845.52506356296,439327.603621534,0.001178895743767382,33885.0,33852.0,0.0009748316199929103,19425.0,19425.0,0.0,19425.0,19425.0,0.0,12956,12949,0.0005405822843462816,12.980537850481422,12.977892107454034,0.00020386538934690884,1,1,0.0,325817.0916637973,326267.9627356839,-0.0013819042118205821,16.29,16.0,0.018124999999999947,17.068079619130437,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,196.5216009,-0.0569754509465197,12.0,16.376800075000002,1780.4069008999998,-0.1171044963575247,106.0,16.796291517924526,9322.651356899993,-0.5188001036961731,495.0,18.83363910484847,439327.603621534,33852.0,19425.0,19425.0,12949,12.977892107454034,1,326267.9627356839,16.0
10ktf-stockroom_2022-08-10,1,0,1,0,0,1,0,1329,1,0,0,0,0,6,0,0,3,0,3,0,7212,0,3,2,1,0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1328.0,1.0,-1.0,-1.0,-1.0,0.0,25.41607000000001,34.40458000000001,-0.26125911143225694,-0.1061160681313808,0.613632440950792,-1.1729309942723356,58.0,62.0,-0.06451612903225806,0.438208103448276,0.5549125806451615,-0.21031146394482647,260.91032904900004,266.0300380489998,-0.0192448530908257,0.1228951242595655,0.2316238542314729,-0.4694193969471276,483.0,478.0,0.010460251046025104,0.5401870166645963,0.5565481967552297,-0.029397597882846117,719.2479943489975,706.025104348998,0.018728639985389664,0.5950055482907742,0.4932877101198717,0.20620387673186608,1285.0,1258.0,0.021462639109697933,0.5597260656412432,0.5612282228529396,-0.0026765532283112873,7752.656000844399,7738.060110844398,0.0018862466549653975,18751.0,18719.0,0.0017094930284737432,15.0,15.0,0.0,15.0,15.0,0.0,4536,4546,-0.002199736031676199,0.4134529358884539,0.4133799941687268,0.0001764519830568581,3,3,0.0,8.102805249968945,8.348222951328445,-0.029397597882846065,0.135,0.139,-0.02877697841726621,1.1633941176470588,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,34.40458000000001,0.613632440950792,62.0,0.5549125806451615,266.0300380489998,0.2316238542314729,478.0,0.5565481967552297,706.025104348998,0.4932877101198717,1258.0,0.5612282228529396,7738.060110844398,18719.0,15.0,15.0,4546,0.4133799941687268,3,8.348222951328445,0.139
cryptodickbutts-s3_2022-08-10,2,0,1,1,0,2,0,3494,0,0,0,0,2,11,16,32,120,1,10,0,64257,3,0,1,1,6,1.0,-1.0,0.0,0.0,-1.0,1.0,0.0,3493.0,-1.0,0.0,-1.0,-1.0,1.0,59.86300689999999,82.7568999999,-0.2766402934368938,-0.49755245889764,-0.8786723531252386,-0.4337451757438839,16.0,24.0,-0.3333333333333333,3.7414379312499992,3.4482041666625,0.08503955984465936,1360.7526768536047,1332.658569953605,0.02108124881602486,4.342650282719011,4.13042674344431,0.05138053582757182,368.0,362.0,0.016574585635359115,3.697697491450013,3.681377265065207,0.004433184976633148,2281.9442395983624,2249.8112326983623,0.014282534655790033,6.0487887925435295,5.956192914213757,0.015546151654826937,759.0,751.0,0.010652463382157125,3.0065141496684618,2.995753971635636,0.0035918096528303367,9465.58850704007,9431.94341064007,0.0035671435816765785,9576.0,9567.0,0.0009407337723424271,5200.0,5200.0,0.0,5200.0,5200.0,0.0,1760,1760,0.0,0.9884699777610768,0.985883078356859,0.002623941379062275,1,1,0.0,19228.026955540063,19143.16177833908,0.004433184976632769,2.825,3.3,-0.14393939393939384,3.468578124999999,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,82.7568999999,-0.8786723531252386,24.0,3.4482041666625,1332.658569953605,4.13042674344431,362.0,3.681377265065207,2249.8112326983623,5.956192914213757,751.0,2.995753971635636,9431.94341064007,9567.0,5200.0,5200.0,1760,0.985883078356859,1,19143.16177833908,3.3
super-cool-world_2022-08-10,33,42,14,168,7,20,0,84154,28,0,2,1,2,14,3,3,25,1,7,0,55054,9,0,4,0,1,32.0,41.0,13.0,167.0,6.0,19.0,0.0,84153.0,27.0,0.0,1.0,1.0,1.0,27.127700000000004,32.619,-0.16834666911922486,-0.2943965707835124,-0.2507803653419024,0.17392193117729,29.0,28.0,0.03571428571428571,0.9354379310344828,1.1649642857142857,-0.19702437018407923,369.2484308999998,693.9978299000013,-0.4679400784967799,-0.7225071579909491,-0.3117023879861278,1.317939117050024,267.0,447.0,-0.40268456375838924,1.3829529247191004,1.5525678521252826,-0.10924799658449669,4882.047916523535,4860.653216523534,0.004401610040245329,0.0,0.0,0.0,5452.0,5429.0,0.004236507644133358,0.8954599993623504,0.8953128046644933,0.00016440588930517684,4882.047916523535,4860.653216523534,0.004401610040245329,5452.0,5429.0,0.004236507644133358,5080.0,5080.0,0.0,5080.0,5080.0,0.0,1442,1445,-0.0020761245674740486,0.8954599993623504,0.8953128046644933,0.00016440588930517684,9,9,0.0,7025.4008575730295,7887.044688796435,-0.1092479965844967,0.8,0.98,-0.18367346938775503,1.234242083333333,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,32.619,-0.2507803653419024,28.0,1.1649642857142857,693.9978299000013,-0.3117023879861278,447.0,1.5525678521252826,4860.653216523534,0.0,5429.0,0.8953128046644933,4860.653216523534,5429.0,5080.0,5080.0,1445,0.8953128046644933,9,7887.044688796435,0.98
moodiesbyhanuka_2022-08-10,82,2517,1793,2202,18,31,1,589105,5,31,27,11,8,338,237,225,979,146,53,0,684948,48,148,94,39,9,81.0,2516.0,1792.0,2201.0,17.0,30.0,1.0,589104.0,4.0,30.0,26.0,10.0,7.0,665.7040855466847,301.74247345900034,1.2061994717397255,0.0,0.0,0.0,4500.0,2983.0,0.5085484411666108,0.1479342412325966,0.1011540306600738,0.46246511648880134,670.9540855466846,306.9924734590004,1.1855717763591758,0.0,0.0,0.0,4501.0,2984.0,0.5083780160857909,0.1490677817255464,0.1028795152342494,0.44895493904816314,670.9540855466846,306.9924734590004,1.1855717763591758,0.0,0.0,0.0,4501.0,2984.0,0.5083780160857909,0.1490677817255464,0.1028795152342494,0.44895493904816314,670.9540855466846,306.9924734590004,1.1855717763591758,4501.0,2984.0,0.5083780160857909,7401.0,7401.0,0.0,7401.0,7401.0,0.0,3420,3670,-0.0681198910081744,0.1490677817255464,0.1028795152342494,0.44895493904816314,1,6,-0.8333333333333334,1103.2506525507692,761.4112922486803,0.4489549390481626,0.202,0.178,0.13483146067415744,0.1567791769146988,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,301.74247345900034,0.0,2983.0,0.1011540306600738,306.9924734590004,0.0,2984.0,0.1028795152342494,306.9924734590004,0.0,2984.0,0.1028795152342494,306.9924734590004,2984.0,7401.0,7401.0,3670,0.1028795152342494,6,761.4112922486803,0.178
boonmirds_2022-08-10,35,3,5,55,5,26,0,30426,6,1,25,3,0,94,19,28,161,7,64,0,230855,15,10,49,12,8,34.0,2.0,4.0,54.0,4.0,25.0,0.0,30425.0,5.0,0.0,24.0,2.0,-1.0,1.4373799999999983,1.710266433567898,-0.15955784912331678,-0.2494716274796712,-0.7116665216047366,-0.6494543161632252,180.0,197.0,-0.08629441624365482,0.0079854444444444,0.0086815555003446,-0.08018275709607217,569.798637425399,569.1528574253996,0.0011346336780607676,0.0,0.0,0.0,14841.0,14753.0,0.005964888497254795,0.0383935474311299,0.0385787878685961,-0.0048016137286933215,569.798637425399,569.1528574253996,0.0011346336780607676,0.0,0.0,0.0,14841.0,14753.0,0.005964888497254795,0.0383935474311299,0.0385787878685961,-0.0048016137286933215,569.798637425399,569.1528574253996,0.0011346336780607676,14841.0,14753.0,0.005964888497254795,10000.0,10000.0,0.0,10000.0,10000.0,0.0,2576,2619,-0.016418480336006108,0.0383935474311299,0.0385787878685961,-0.0048016137286933215,1,1,0.0,383.9354743112991,385.7878786859619,-0.004801613728695417,0.0048,0.0068999999999999,-0.3043478260869465,0.0035838936842105,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,1.710266433567898,-0.7116665216047366,197.0,0.0086815555003446,569.1528574253996,0.0,14753.0,0.0385787878685961,569.1528574253996,0.0,14753.0,0.0385787878685961,569.1528574253996,14753.0,10000.0,10000.0,2619,0.0385787878685961,1,385.7878786859619,0.0068999999999999
